key,value,year,date
arts,51.1,8,1998
arts,51.1,9,1998
arts,0,0,1999
arts,0,1,1999
arts,1.4,2,1999
arts,52.1,3,1999
arts,54.9,4,1999
arts,57,5,1999
arts,57,6,1999
arts,57,7,1999
arts,57,8,1999
arts,57.7,9,1999
arts,0,0,2000
arts,0,1,2000
arts,3.3,2,2000
arts,49.7,3,2000
arts,53.6,4,2000
arts,54.2,5,2000
arts,54.2,6,2000
arts,55.6,7,2000
arts,55.6,8,2000
arts,55.6,9,2000
arts,0,0,2001
arts,0.7,1,2001
arts,4.1,2,2001
arts,46.6,3,2001
arts,50.7,4,2001
arts,51.4,5,2001
arts,51.4,6,2001
arts,51.4,7,2001
arts,52,8,2001
arts,52,9,2001
arts,0,0,2002
arts,0,1,2002
arts,4.9,2,2002
arts,52.1,3,2002
arts,55.6,4,2002
arts,55.6,5,2002
arts,56.3,6,2002
arts,56.3,7,2002
arts,56.3,8,2002
arts,56.3,9,2002
arts,0,0,2003
arts,0,1,2003
arts,1.7,2,2003
arts,58.7,3,2003
arts,59.5,4,2003
arts,61.2,5,2003
arts,61.2,6,2003
arts,62,7,2003
arts,62,8,2003
arts,0,9,2003
arts,0,0,2004
arts,0,1,2004
arts,4.5,2,2004
arts,51.4,3,2004
arts,55,4,2004
arts,55.9,5,2004
arts,55.9,6,2004
arts,57.7,7,2004
arts,0,8,2004
arts,0,9,2004
arts,0,0,2005
arts,0,1,2005
arts,1.9,2,2005
arts,53.8,3,2005
arts,55.7,4,2005
arts,58.2,5,2005
arts,58.2,6,2005
arts,0,7,2005
arts,0,8,2005
arts,0,9,2005
arts,0,0,2006
arts,0,1,2006
arts,1.2,2,2006
arts,60.4,3,2006
arts,62.1,4,2006
arts,62.1,5,2006
arts,0,6,2006
arts,0,7,2006
arts,0,8,2006
arts,0,9,2006
arts,0,0,2007
arts,0,1,2007
arts,0.6,2,2007
arts,57.4,3,2007
arts,59.2,4,2007
arts,0,5,2007
arts,0,6,2007
arts,0,7,2007
arts,0,8,2007
arts,0,9,2007
arts,0,0,2008
arts,0,1,2008
arts,2.4,2,2008
arts,58.5,3,2008
arts,0,4,2008
arts,0,5,2008
arts,0,6,2008
arts,0,7,2008
arts,0,8,2008
arts,0,9,2008
arts,0,0,2009
arts,0,1,2009
arts,1.9,2,2009
arts,0,3,2009
arts,0,4,2009
arts,0,5,2009
arts,0,6,2009
arts,0,7,2009
arts,0,8,2009
arts,0,9,2009
arts,0,0,2010
arts,0,1,2010
arts,0,2,2010
arts,0,3,2010
arts,0,4,2010
arts,0,5,2010
arts,0,6,2010
arts,0,7,2010
arts,0,8,2010
arts,0,9,2010
arts,0,0,2011
arts,0,1,2011
arts,0,2,2011
arts,0,3,2011
arts,0,4,2011
arts,0,5,2011
arts,0,6,2011
arts,0,7,2011
arts,0,8,2011
arts,0,9,2011
wcu,0,0,1996
wcu,0,1,1996
wcu,0.5,2,1996
wcu,22,3,1996
wcu,41,4,1996
wcu,45.7,5,1996
wcu,47.5,6,1996
wcu,48.1,7,1996
wcu,48.6,8,1996
wcu,48.7,9,1996
wcu,0,0,1997
wcu,0,1,1997
wcu,0.7,2,1997
wcu,25.3,3,1997
wcu,45.5,4,1997
wcu,48.8,5,1997
wcu,49.7,6,1997
